category,agency,sub_agency,funding_type,description,expiration,total_funding_b,cfda,program_name,ffy,recipient_name,amount,amount_type,funding_agency,funding_sub_agency
Transit,Department of Transportation,FTA,Formula,"The State of Good Repair Grants Program (49 U.S.C. 5337) provides capital assistance for maintenance, replacement, and rehabilitation projects of high-intensity fixed guideway and bus systems to help transit agencies maintain assets in a state of good repair.",Permanent program,21.64,20.524999999999999,5337 State of Good Repair,2022,Chicago Transit Authority,242887136,Award,NA,NA
Transit,Department of Transportation,FTA,Formula,"The State of Good Repair Grants Program (49 U.S.C. 5337) provides capital assistance for maintenance, replacement, and rehabilitation projects of high-intensity fixed guideway and bus systems to help transit agencies maintain assets in a state of good repair.",Permanent program,21.64,20.524999999999999,5337 State of Good Repair,2022,Illinois - Chicago Area,145382115,Award,NA,NA
Transit,Department of Transportation,FTA,Formula,"To replace, rehabilitate, and purchase buses and related equipment and to construct bus-related facilities including technological changes or innovations to modify low- or no- emission vehicles or facilities.",Permanent program,10.754999999999999,20.526,5339 Bus and Bus Facilities,2022,Chicago Transit Authority,12661857,Award,NA,NA
Airports,Department of Transportation,FAA,Formula,"The money can be invested in runways, taxiways, safety and sustainability projects, as well as terminal, airport-transit connections and roadway projects.",5 years,15,20.106000000000002,Airport Infrastructure Grants,2022,Chicago O'Hare International - ORD,73672455,Award,NA,NA
Airports,Department of Transportation,FAA,Formula,"The money can be invested in runways, taxiways, safety and sustainability projects, as well as terminal, airport-transit connections and roadway projects.",5 years,15,20.106000000000002,Airport Infrastructure Grants,2022,Chicago Midway International - MDW,20245396,Award,NA,NA
Airports,Department of Transportation,FAA,Formula,"The money can be invested in runways, taxiways, safety and sustainability projects, as well as terminal, airport-transit connections and roadway projects.",5 years,15,20.106000000000002,Airport Infrastructure Grants,2022,Lansing Municipal - IGQ,159000,Award,NA,NA
Airports,Department of Transportation,FAA,Formula,"The money can be invested in runways, taxiways, safety and sustainability projects, as well as terminal, airport-transit connections and roadway projects.",5 years,15,20.106000000000002,Airport Infrastructure Grants,2023,Chicago O'Hare International - ORD,73376190,Award,NA,NA
Airports,Department of Transportation,FAA,Formula,"The money can be invested in runways, taxiways, safety and sustainability projects, as well as terminal, airport-transit connections and roadway projects.",5 years,15,20.106000000000002,Airport Infrastructure Grants,2023,Chicago Midway International - MDW,20167165,Award,NA,NA
Airports,Department of Transportation,FAA,Formula,"The money can be invested in runways, taxiways, safety and sustainability projects, as well as terminal, airport-transit connections and roadway projects.",5 years,15,20.106000000000002,Airport Infrastructure Grants,2023,Lansing Municipal - IGQ,145000,Award,NA,NA
Water,Environmental Protection Agency,State and Tribal Assistance Grants,Revolving fund loans or grants,"Communities can use the CWSRF to address the water quality aspects of site assessment and cleanup of brownfields, Superfund sites, and sites of current or former aboveground or underground storage tanks.",Available until expended,11.712999999999999,66.457999999999998,Clean Water State Revolving Fund - Emerging Contaminants,2022,Illinois - Chicago Area,80494000,Award,NA,NA
